Area,O_BetweenStreet1,O_BetweenStreet2,DewPointC,DurationSeconds,FeelsLikeC,Hourly_Counts,Sensor_Id,Sensor_Name,Side Of Street,StreetId,StreetName,Time,WindChillC,WindGustKmph,cloudcover,humidity,moon_illumination,pressure,tempC,winddirDegree,windspeedKmph,Vehicle Present
2,0.0,0.0,10,75,28,0.0,0,0.0,4,926,3,0,29,15,0,30,19,1019,29,179,10,1
2,0.0,0.0,15,7076,25,0.0,0,0.0,4,926,3,0,24,1,27,56,41,1018,24,183,1,1
0,0.0,0.0,12,1305,25,0.0,0,0.0,3,926,3,0,25,26,0,45,55,1016,25,159,20,1
6,27.0,15.0,7,977,14,32.0,11,16.0,5,1398,10,13,14,9,65,61,0,1018,14,299,8,1
2,0.0,0.0,16,7457,25,0.0,0,0.0,3,926,3,0,23,22,48,66,48,1014,23,184,18,1
28,36.0,12.0,16,80,19,1447.0,2,2.0,4,123,0,18,19,16,27,82,0,1017,19,6,8,1
6,31.0,8.0,5,7320,7,3556.0,1,1.0,1,123,0,18,7,26,16,75,7,1023,9,5,14,1
6,18.0,41.0,4,2985,4,8.0,2,2.0,3,123,0,1,4,23,4,86,98,1013,6,355,12,0
5,6.0,13.0,8,19800,9,408.0,52,6.0,2,627,2,18,9,23,81,87,98,1029,11,239,14,0
15,13.0,35.0,4,142,12,486.0,40,9.0,1,894,4,15,12,23,0,51,100,1021,14,188,19,1
0,0.0,0.0,11,717,22,0.0,0,0.0,4,926,3,0,22,18,0,52,12,1021,21,116,9,1
1,0.0,0.0,17,1277,24,0.0,0,0.0,4,907,1,0,22,16,53,70,34,1021,22,175,13,0
2,39.0,33.0,11,416,31,642.0,17,4.0,3,528,1,15,32,20,14,27,20,1002,32,309,10,0
10,36.0,12.0,14,131,18,25.0,53,5.0,3,528,1,0,18,5,47,78,62,1007,17,292,3,1
20,3.0,25.0,9,25,12,268.0,23,13.0,2,1285,7,22,12,44,50,71,8,1009,14,118,28,0
3,0.0,0.0,11,1649,26,0.0,0,0.0,3,669,0,0,26,22,0,39,12,1020,26,144,11,0
3,22.0,40.0,11,639,19,413.0,30,8.0,1,894,4,8,19,25,47,61,13,1012,19,230,21,1
2,0.0,0.0,12,255,20,0.0,0,0.0,4,926,3,0,20,13,0,60,19,1019,19,167,6,0
17,41.0,32.0,6,2759,7,768.0,21,0.0,4,123,0,0,7,25,32,81,60,1014,9,291,14,0
6,17.0,11.0,8,308,18,369.0,21,0.0,1,123,0,9,18,11,0,50,6,1020,18,178,10,0
1,0.0,0.0,16,4051,26,0.0,0,0.0,4,907,1,0,24,19,22,61,34,1020,24,169,14,0
3,0.0,0.0,16,340,29,0.0,0,0.0,4,911,2,0,28,3,0,46,19,1021,26,0,3,1
10,36.0,12.0,9,7759,10,21.0,17,4.0,3,528,1,4,10,30,8,82,14,1022,12,9,18,0
3,22.0,40.0,13,63,29,422.0,30,8.0,1,894,4,10,29,23,4,36,20,1005,29,115,14,1
3,0.0,0.0,15,7885,17,0.0,0,0.0,4,911,2,0,17,14,7,90,41,1019,16,118,7,1
1,0.0,0.0,12,239,25,0.0,0,0.0,3,907,1,0,22,25,0,53,55,1017,22,151,16,0
6,5.0,11.0,9,112,9,873.0,21,0.0,3,123,0,15,9,29,100,87,3,1017,12,269,20,1
0,0.0,0.0,16,1374,22,0.0,0,0.0,3,926,3,0,22,13,64,73,48,1015,22,184,11,1
0,34.0,10.0,5,63,10,1695.0,53,5.0,3,528,1,14,10,19,67,60,33,1033,12,207,14,1
15,13.0,35.0,11,12031,18,831.0,30,8.0,1,894,4,20,18,8,20,64,50,1002,17,97,4,1
0,0.0,0.0,16,632,25,0.0,0,0.0,3,926,3,0,23,23,1,63,34,1019,23,145,14,0
2,0.0,0.0,16,869,26,0.0,0,0.0,3,926,3,0,25,21,12,58,34,1019,25,169,15,0
16,19.0,3.0,7,16264,8,332.0,10,15.0,3,1381,9,7,8,28,92,80,14,1016,10,282,19,0
16,19.0,3.0,10,27000,17,22.0,10,15.0,3,1381,9,0,17,11,0,63,77,1016,16,59,5,0
1,0.0,0.0,13,1745,18,0.0,0,0.0,3,907,1,0,18,9,0,70,19,1019,17,205,4,1
18,22.0,40.0,12,536,16,1571.0,53,5.0,4,528,1,17,16,26,52,77,70,1005,16,227,16,0
1,0.0,0.0,15,1777,26,0.0,0,0.0,4,907,1,0,25,4,22,54,41,1017,25,188,3,1
2,0.0,0.0,14,339,29,0.0,0,0.0,4,926,3,0,29,6,0,41,19,1020,27,60,5,1
11,39.0,33.0,7,75,10,269.0,30,8.0,3,894,4,8,10,26,80,76,23,1018,12,297,17,1
2,0.0,0.0,14,6272,29,0.0,0,0.0,4,926,3,0,29,6,0,41,19,1020,27,60,5,0
1,0.0,0.0,16,2444,20,0.0,0,0.0,3,907,1,0,20,25,53,76,48,1015,20,181,17,1
25,39.0,4.0,7,1359,11,250.0,50,7.0,1,655,3,11,11,29,79,70,62,1018,13,284,21,1
6,37.0,2.0,8,120,19,530.0,18,3.0,4,528,1,14,19,39,7,49,0,1008,19,350,25,0
0,34.0,10.0,11,274,17,948.0,18,3.0,3,528,1,9,17,11,55,66,34,1021,17,185,10,0
1,0.0,0.0,15,1084,27,0.0,0,0.0,4,907,1,0,26,6,17,51,41,1016,26,193,5,1
6,31.0,34.0,7,70,7,2292.0,1,1.0,4,123,0,15,7,34,100,83,91,1005,10,294,27,1
0,0.0,0.0,12,5792,25,0.0,0,0.0,3,926,3,0,22,25,0,53,55,1017,22,151,16,1
0,34.0,10.0,4,210,3,211.0,17,4.0,3,528,1,6,3,20,13,87,0,1019,6,349,11,0
2,0.0,0.0,17,134,25,0.0,0,0.0,4,926,3,0,24,17,31,65,34,1020,24,169,13,1
0,0.0,0.0,15,426,26,0.0,0,0.0,3,926,3,0,25,4,22,54,41,1017,25,188,3,0
1,0.0,0.0,15,22758,17,0.0,0,0.0,4,907,1,0,17,14,7,90,41,1019,16,118,7,0
2,0.0,0.0,17,23366,19,0.0,0,0.0,3,926,3,0,19,20,92,92,34,1021,18,184,14,0
0,0.0,0.0,10,94,29,0.0,0,0.0,3,926,3,0,30,11,0,30,19,1019,29,179,8,1
6,31.0,34.0,10,39600,14,774.0,17,4.0,4,528,1,7,14,15,29,75,85,1013,15,155,12,1
28,36.0,12.0,10,722,26,873.0,21,0.0,3,123,0,16,26,17,5,36,77,1015,26,126,9,0
17,41.0,32.0,5,426,5,246.0,2,2.0,3,123,0,7,5,35,26,78,87,1007,8,304,23,1
0,0.0,0.0,15,364,19,0.0,0,0.0,3,926,3,0,19,22,74,81,48,1016,19,174,15,1
20,38.0,21.0,6,572,17,693.0,21,0.0,4,123,0,11,17,8,0,49,87,1024,16,337,7,1
1,0.0,0.0,15,321,17,0.0,0,0.0,4,907,1,0,17,19,4,90,34,1019,17,118,9,1
6,17.0,11.0,13,1656,17,1195.0,21,0.0,1,123,0,17,17,30,54,81,0,1019,17,202,19,0
2,0.0,0.0,12,13063,23,0.0,0,0.0,4,926,3,0,23,7,0,49,19,1021,21,14,4,1
2,0.0,0.0,16,725,18,0.0,0,0.0,4,926,3,0,18,15,85,86,34,1022,18,191,11,0
0,0.0,0.0,11,4499,20,0.0,0,0.0,4,926,3,0,20,13,0,59,12,1021,18,93,6,1
28,13.0,35.0,14,161,15,861.0,1,1.0,3,123,0,21,15,11,44,94,11,1023,15,277,6,0
18,22.0,40.0,12,317,17,138.0,18,3.0,4,528,1,21,17,9,0,73,65,1025,15,143,6,1
0,0.0,0.0,12,444,21,0.0,0,0.0,4,926,3,0,21,17,3,56,12,1022,21,9,10,1
2,0.0,0.0,15,7372,17,0.0,0,0.0,4,926,3,0,17,5,21,91,41,1018,16,116,3,1
3,0.0,0.0,16,1850,18,0.0,0,0.0,4,911,2,0,18,9,17,91,41,1014,17,197,5,0
0,0.0,0.0,12,7813,24,0.0,0,0.0,3,926,3,0,23,16,4,52,55,1016,23,158,14,1
2,0.0,0.0,15,18303,17,0.0,0,0.0,3,926,3,0,17,5,21,91,41,1018,16,116,3,0
3,0.0,0.0,12,408,29,0.0,0,0.0,4,911,2,0,30,14,2,32,12,1019,30,147,8,1
0,0.0,0.0,11,4923,22,0.0,0,0.0,3,926,3,0,22,18,0,52,12,1021,21,116,9,0
1,0.0,0.0,16,2878,26,0.0,0,0.0,3,907,1,0,24,23,2,59,34,1019,24,157,15,0
0,0.0,0.0,11,190,20,0.0,0,0.0,3,926,3,0,20,13,0,59,12,1021,18,93,6,0
18,22.0,40.0,16,768,20,23.0,53,5.0,4,528,1,5,20,17,33,75,62,1008,20,241,9,1
25,39.0,4.0,8,64,15,531.0,50,7.0,1,655,3,21,15,63,36,62,53,1011,15,357,33,1
9,29.0,24.0,6,64,7,17.0,36,11.0,2,1171,6,5,7,5,10,93,99,1026,6,305,2,1
8,22.0,40.0,15,27655,29,1702.0,2,2.0,3,123,0,10,29,41,43,44,2,999,29,121,24,1
2,0.0,0.0,18,245,20,0.0,0,0.0,4,926,3,0,20,20,36,87,26,1020,20,191,13,0
6,11.0,29.0,10,619,16,1247.0,21,0.0,1,123,0,17,16,23,65,67,0,1024,16,184,17,0
2,0.0,0.0,12,121,25,0.0,0,0.0,4,926,3,0,22,25,0,53,55,1017,22,151,16,1
6,8.0,39.0,11,1290,19,3212.0,1,1.0,3,123,0,16,19,58,98,60,55,1003,19,353,35,1
9,34.0,10.0,9,61,15,717.0,40,9.0,4,894,4,8,15,10,28,69,94,1021,15,12,7,1
14,3.0,25.0,8,17,14,648.0,36,11.0,1,1171,6,15,14,23,72,64,39,1008,15,188,19,0
0,0.0,0.0,15,13677,16,0.0,0,0.0,3,926,3,0,16,19,61,90,55,1016,16,154,14,0
3,0.0,0.0,14,460,26,0.0,0,0.0,3,669,0,0,25,5,0,52,26,1019,22,180,5,1
5,15.0,13.0,4,223,6,722.0,52,6.0,2,627,2,15,6,36,59,71,18,1014,9,242,26,1
0,0.0,0.0,15,131,27,0.0,0,0.0,3,926,3,0,27,15,8,50,41,1014,26,190,12,0
2,0.0,0.0,14,5192,26,0.0,0,0.0,4,926,3,0,25,17,3,49,26,1018,25,190,15,0
6,18.0,17.0,8,974,9,102.0,1,1.0,1,123,0,6,9,11,36,92,65,1021,9,136,6,0
6,31.0,8.0,15,7714,21,38.0,21,0.0,1,123,0,5,21,24,4,69,74,1017,20,19,13,0
3,22.0,40.0,9,81,18,926.0,30,8.0,3,894,4,17,18,18,8,56,54,1026,18,140,10,1
15,36.0,12.0,9,5619,18,488.0,40,9.0,1,894,4,10,18,12,90,55,87,1022,18,313,9,1
6,8.0,39.0,8,706,15,233.0,21,0.0,3,123,0,9,15,7,58,67,27,1023,14,334,6,0
0,34.0,10.0,12,138,17,516.0,18,3.0,4,528,1,12,17,34,76,73,42,1000,17,229,28,1
6,32.0,29.0,8,4916,11,1353.0,53,5.0,4,528,1,16,11,39,89,72,100,1015,13,241,27,1
2,0.0,0.0,16,6638,18,0.0,0,0.0,4,926,3,0,18,17,82,89,34,1021,18,194,12,0
2,0.0,0.0,15,8633,25,0.0,0,0.0,3,926,3,0,24,1,27,56,41,1018,24,183,1,0
0,6.0,13.0,10,265,11,73.0,52,6.0,5,627,2,23,11,38,41,84,40,997,13,308,22,1
15,36.0,12.0,8,1680,8,405.0,40,9.0,4,894,4,19,8,34,97,81,31,1016,11,275,21,1
2,39.0,33.0,12,634,24,540.0,53,5.0,3,528,1,9,24,5,0,46,57,1025,22,74,4,1
3,0.0,0.0,17,3911,19,0.0,0,0.0,4,911,2,0,19,12,80,88,48,1015,19,168,8,1
6,31.0,34.0,6,12809,9,665.0,1,1.0,4,123,0,20,9,19,15,77,61,1020,10,15,9,0
2,0.0,0.0,14,1246,26,0.0,0,0.0,3,926,3,0,25,9,1,49,26,1019,24,184,8,1
0,14.0,14.0,12,466,18,562.0,36,11.0,5,1171,6,16,18,22,94,68,78,1014,18,220,16,1
2,0.0,0.0,11,173,19,0.0,0,0.0,3,926,3,0,19,18,3,62,12,1022,19,11,9,1
0,0.0,0.0,15,4688,26,0.0,0,0.0,4,926,3,0,25,4,22,54,41,1017,25,188,3,1
17,41.0,32.0,6,1076,12,1129.0,21,0.0,3,123,0,16,12,10,11,64,29,1020,12,189,7,1
0,0.0,0.0,16,188,19,0.0,0,0.0,3,926,3,0,19,24,64,79,48,1016,19,178,16,1
6,38.0,1.0,6,78,12,124.0,18,3.0,4,528,1,9,12,7,19,63,48,1031,12,232,6,1
0,15.0,13.0,15,3338,23,405.0,36,11.0,1,1171,6,11,23,42,76,65,100,998,23,341,22,0
23,28.0,28.0,9,2220,11,210.0,36,11.0,5,1171,6,19,11,12,45,87,72,1024,11,243,7,1
2,0.0,0.0,15,7563,27,0.0,0,0.0,4,926,3,0,27,15,8,50,41,1014,26,190,12,0
9,29.0,24.0,12,138,20,1098.0,36,11.0,1,1171,6,12,20,25,58,60,85,1010,20,143,21,0
1,0.0,0.0,14,521,31,0.0,0,0.0,3,907,1,0,31,2,4,36,12,1020,30,128,2,0
6,11.0,29.0,11,164,22,1224.0,21,0.0,3,123,0,17,22,18,10,50,86,1008,22,176,13,0
1,0.0,0.0,15,11338,16,0.0,0,0.0,3,907,1,0,16,19,61,90,55,1016,16,154,14,0
2,0.0,0.0,15,100,27,0.0,0,0.0,3,926,3,0,26,6,17,51,41,1016,26,193,5,1
2,0.0,0.0,10,7128,29,0.0,0,0.0,4,926,3,0,30,11,0,30,19,1019,29,179,8,0
6,18.0,30.0,11,3276,15,767.0,17,4.0,4,528,1,7,15,14,77,74,34,1020,15,183,10,1
0,0.0,0.0,16,87,21,0.0,0,0.0,3,926,3,0,21,24,0,74,34,1019,21,128,13,1
6,31.0,8.0,2,8434,7,1427.0,2,2.0,3,123,0,18,7,9,39,69,51,1022,7,10,4,1
11,39.0,33.0,7,506,8,891.0,30,8.0,3,894,4,18,8,24,40,80,11,1026,10,351,14,1
3,0.0,0.0,17,117,18,0.0,0,0.0,4,669,0,0,18,12,80,92,48,1015,18,162,8,1
2,0.0,0.0,17,517,19,0.0,0,0.0,4,926,3,0,19,21,95,92,26,1021,19,185,15,1
21,41.0,32.0,13,1357,25,562.0,40,9.0,1,894,4,9,23,18,4,50,24,1019,23,19,12,1
0,0.0,0.0,13,2224,30,0.0,0,0.0,4,926,3,0,31,8,3,34,12,1020,30,138,5,0
6,18.0,17.0,5,200,5,164.0,21,0.0,1,123,0,7,5,36,88,78,94,1004,9,346,26,1
0,0.0,0.0,15,25258,17,0.0,0,0.0,4,926,3,0,17,14,7,90,41,1019,16,118,7,1
10,36.0,12.0,3,876,6,26.0,17,4.0,3,528,1,0,6,51,72,65,94,1005,10,356,34,1
2,0.0,0.0,16,7038,17,0.0,0,0.0,4,926,3,0,17,8,24,94,48,1014,17,192,5,1
9,34.0,10.0,6,132,9,605.0,40,9.0,1,894,4,10,9,19,42,70,100,1021,11,267,15,0
0,0.0,0.0,15,155,27,0.0,0,0.0,3,926,3,0,27,15,8,50,41,1014,26,190,12,1
3,0.0,0.0,16,2012,21,0.0,0,0.0,3,669,0,0,21,24,0,74,34,1019,21,128,13,1
9,34.0,10.0,16,19112,18,5.0,40,9.0,1,894,4,0,18,4,17,91,86,1017,17,216,3,0
3,0.0,0.0,11,7200,25,0.0,0,0.0,4,911,2,0,25,23,0,43,12,1020,25,138,11,0
6,37.0,2.0,11,341,17,92.0,18,3.0,3,528,1,15,17,14,82,68,48,1021,17,190,10,1
15,36.0,12.0,14,1380,25,250.0,40,9.0,4,894,4,14,24,20,8,53,0,1015,24,184,16,0
0,34.0,10.0,10,316,13,509.0,53,5.0,4,528,1,19,13,10,41,81,17,1018,13,164,6,1
20,25.0,2.0,5,78,5,2140.0,24,12.0,2,1285,7,7,5,20,14,83,22,1019,7,294,12,1
2,39.0,33.0,7,859,7,376.0,18,3.0,3,528,1,19,7,34,38,83,100,1016,9,274,19,1
3,0.0,0.0,16,637,26,0.0,0,0.0,4,911,2,0,25,23,2,55,34,1019,25,169,16,0
0,0.0,0.0,16,1487,18,0.0,0,0.0,3,926,3,0,18,15,85,86,34,1022,18,191,11,1
20,3.0,25.0,15,2656,19,43.0,23,13.0,2,1285,7,5,19,27,75,78,13,1009,19,242,18,0
12,28.0,28.0,11,330,22,906.0,23,13.0,5,1285,7,9,22,30,0,52,12,1023,22,9,19,1
28,13.0,35.0,6,2426,6,18.0,2,2.0,4,123,0,5,6,17,7,89,79,1029,8,346,9,1
15,36.0,12.0,5,230,10,538.0,40,9.0,4,894,4,14,10,20,18,64,10,1023,12,210,16,1
6,2.0,18.0,15,244,18,874.0,21,0.0,4,123,0,16,18,32,77,83,0,1018,18,211,20,0
21,41.0,32.0,12,1626,19,674.0,30,8.0,1,894,4,16,19,17,1,64,34,1018,19,185,14,1
9,34.0,10.0,9,2051,11,86.0,30,8.0,1,894,4,2,11,4,6,86,46,1026,10,198,2,1
1,0.0,0.0,16,263,25,0.0,0,0.0,3,907,1,0,22,23,0,67,34,1019,22,133,14,1
3,0.0,0.0,16,126,29,0.0,0,0.0,3,669,0,0,28,3,0,46,19,1021,26,0,3,1
1,0.0,0.0,10,1116,28,0.0,0,0.0,4,907,1,0,29,15,0,30,19,1019,29,179,10,0
1,0.0,0.0,16,135,26,0.0,0,0.0,4,907,1,0,25,21,12,58,34,1019,25,169,15,0
2,39.0,33.0,11,1096,18,1560.0,18,3.0,3,528,1,8,18,4,42,65,70,1004,17,272,3,1
3,0.0,0.0,16,369,18,0.0,0,0.0,3,669,0,0,18,15,85,86,34,1022,18,191,11,1
14,3.0,25.0,8,118,16,1042.0,36,11.0,1,1171,6,12,16,12,90,58,50,1019,16,30,9,0
2,0.0,0.0,15,456,17,0.0,0,0.0,4,926,3,0,17,15,78,88,34,1021,17,194,10,0
3,0.0,0.0,16,92,26,0.0,0,0.0,4,911,2,0,24,23,2,59,34,1019,24,157,15,1
6,31.0,8.0,6,6349,8,196.0,2,2.0,1,123,0,21,8,9,0,90,64,1031,6,28,4,1
2,0.0,0.0,16,186,21,0.0,0,0.0,4,926,3,0,21,25,54,73,48,1015,21,181,18,0
3,0.0,0.0,15,12340,17,0.0,0,0.0,4,911,2,0,17,18,52,89,55,1016,17,162,12,0
17,41.0,32.0,15,506,20,7.0,2,2.0,4,123,0,4,20,20,4,72,74,1017,19,18,10,1
2,39.0,33.0,11,17285,25,729.0,18,3.0,3,528,1,13,24,26,16,43,8,1006,24,326,19,1
0,0.0,0.0,17,8759,20,0.0,0,0.0,3,926,3,0,20,19,5,83,26,1019,20,193,12,1
15,13.0,35.0,6,7328,12,406.0,40,9.0,1,894,4,14,12,42,82,58,79,1013,14,4,28,1
3,0.0,0.0,15,16957,17,0.0,0,0.0,3,669,0,0,17,18,52,89,55,1016,17,162,12,1
28,36.0,12.0,12,1878,25,2540.0,2,2.0,3,123,0,12,24,17,2,46,55,1016,24,162,15,0
6,31.0,8.0,14,504,16,3256.0,2,2.0,3,123,0,13,16,32,90,88,18,1020,16,8,21,1
0,0.0,0.0,10,1712,26,0.0,0,0.0,3,926,3,0,27,22,0,35,19,1018,27,174,13,0
6,31.0,8.0,9,31,14,2913.0,2,2.0,1,123,0,12,14,15,93,70,41,1020,14,239,10,0
0,0.0,0.0,17,142,21,0.0,0,0.0,3,926,3,0,21,19,4,76,26,1019,21,192,13,0
2,0.0,0.0,16,1282,21,0.0,0,0.0,4,926,3,0,21,24,0,74,34,1019,21,128,13,0
1,0.0,0.0,12,3074,26,0.0,0,0.0,4,907,1,0,26,16,3,42,26,1018,26,191,14,1
1,0.0,0.0,16,4785,22,0.0,0,0.0,4,907,1,0,22,13,64,73,48,1015,22,184,11,0
3,0.0,0.0,12,3233,29,0.0,0,0.0,3,669,0,0,29,8,0,35,19,1020,28,120,6,1
24,13.0,35.0,8,3903,9,16.0,53,5.0,3,528,1,4,9,15,10,90,18,1020,10,312,8,1
0,34.0,10.0,5,79,14,257.0,18,3.0,3,528,1,18,14,12,46,54,40,1011,14,183,8,1
2,0.0,0.0,16,383,21,0.0,0,0.0,4,926,3,0,21,25,54,73,48,1015,21,181,18,0
20,25.0,2.0,14,1238,27,1638.0,24,12.0,2,1285,7,14,27,27,58,46,16,1007,27,311,15,1
6,38.0,1.0,4,638,9,1046.0,18,3.0,4,528,1,9,9,9,15,65,47,1023,10,289,8,0
3,0.0,0.0,15,789,20,0.0,0,0.0,4,911,2,0,20,3,35,77,41,1018,19,145,2,1
3,0.0,0.0,12,649,24,0.0,0,0.0,4,911,2,0,23,16,4,50,12,1022,23,7,10,1
0,0.0,0.0,12,896,29,0.0,0,0.0,3,926,3,0,30,14,2,32,12,1019,30,147,8,0
0,0.0,0.0,15,156,19,0.0,0,0.0,3,926,3,0,19,22,74,81,48,1016,19,174,15,1
1,0.0,0.0,16,300,26,0.0,0,0.0,4,907,1,0,25,21,12,58,34,1019,25,169,15,1
7,30.0,9.0,6,72,12,133.0,46,10.0,3,1102,5,12,12,18,67,59,68,1025,13,224,16,0
3,0.0,0.0,16,3512,29,0.0,0,0.0,3,669,0,0,28,3,0,46,19,1021,26,0,3,1
21,41.0,32.0,7,510,24,485.0,40,9.0,1,894,4,9,24,25,0,35,10,1015,24,13,19,0
9,34.0,10.0,16,5263,17,93.0,40,9.0,1,894,4,0,17,5,67,95,0,1014,17,228,3,1
0,0.0,0.0,11,909,22,0.0,0,0.0,4,926,3,0,22,18,0,52,12,1021,21,116,9,1
0,0.0,0.0,11,5204,21,0.0,0,0.0,3,926,3,0,21,16,0,53,19,1019,21,165,7,1
3,0.0,0.0,17,132,19,0.0,0,0.0,4,911,2,0,19,12,80,88,48,1015,19,168,8,1
3,0.0,0.0,12,1097,25,0.0,0,0.0,4,669,0,0,24,17,2,46,55,1016,24,162,15,0
9,34.0,10.0,5,1758,10,589.0,40,9.0,1,894,4,10,10,44,23,59,33,999,13,282,34,0
2,0.0,0.0,12,34200,19,0.0,0,0.0,3,926,3,0,19,8,0,64,19,1020,17,72,4,0
6,32.0,29.0,13,54,20,1389.0,17,4.0,4,528,1,17,20,20,7,63,33,1025,20,22,10,0
6,38.0,1.0,4,3554,4,14.0,53,5.0,3,528,1,4,4,19,14,85,0,1018,6,343,11,0
6,37.0,2.0,5,344,9,2058.0,53,5.0,4,528,1,15,9,19,16,68,91,1010,11,352,13,1
2,0.0,0.0,12,135,25,0.0,0,0.0,4,926,3,0,24,25,0,49,55,1016,24,155,18,1
0,34.0,10.0,14,27000,26,23.0,17,4.0,3,528,1,0,25,32,17,53,72,1008,25,0,17,0
6,31.0,34.0,17,178,22,423.0,53,5.0,3,528,1,7,22,26,36,76,72,1010,22,101,15,0
3,0.0,0.0,16,579,26,0.0,0,0.0,4,911,2,0,24,23,2,59,34,1019,24,157,15,0
3,0.0,0.0,15,441,27,0.0,0,0.0,4,669,0,0,26,6,17,51,41,1016,26,193,5,0
0,0.0,0.0,17,361,19,0.0,0,0.0,3,926,3,0,19,20,92,92,34,1021,18,184,14,0
14,34.0,10.0,11,151,14,804.0,1,1.0,3,123,0,8,14,4,27,82,41,1026,14,233,3,1
0,0.0,0.0,12,102,25,0.0,0,0.0,4,926,3,0,24,17,2,46,55,1016,24,162,15,1
9,25.0,2.0,11,935,21,538.0,36,11.0,1,1171,6,9,21,1,0,54,18,1021,18,263,1,1
0,0.0,0.0,13,12419,17,0.0,0,0.0,3,926,3,0,17,18,52,79,55,1017,17,147,14,0
8,22.0,40.0,11,24,16,706.0,2,2.0,3,123,0,19,16,26,66,68,8,1009,17,242,19,0
2,0.0,0.0,15,1510,25,0.0,0,0.0,3,926,3,0,24,1,27,56,41,1018,24,183,1,0
6,18.0,30.0,7,509,9,159.0,17,4.0,4,528,1,22,9,24,82,78,77,1030,11,222,15,1
2,0.0,0.0,12,1172,19,0.0,0,0.0,3,926,3,0,19,11,0,67,19,1019,17,168,5,0
